,Unnamed: 0,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
0,1951,207.46083967823145,116.73041983911573,90.73041983911573,61.83210252987556,4.925863942402479,57.6864146675752,60.0,60.0,21.428571428571427,62.95051353874884,0.0001686612178191,100.0,17.5,242.5,9427.04608544,-0.2553191489361728,11750.0
1,1952,174.6615775339924,135.3307887669962,39.33078876699619,55.55867898991164,-1.0780476780491526,54.339961429548254,40.0,80.0,0.0,44.12698412698414,-0.0017974687534265,135.0,67.5,262.5,4017.39355244,0.255972696245732,11720.0
2,1953,140.0952057233335,94.04760286166676,46.047602861666746,52.40361862110876,-3.3864864374816293,57.02477454302441,80.0,40.0,37.5,36.07142857142858,0.0002427185303645,140.0,70.0,295.0,3791.52180029,0.5957446808510625,11750.0
3,1954,151.3788477811613,34.689423890580656,116.68942389058066,54.91855857579321,-0.6972371862377429,62.55711123298016,133.33333333333394,66.66666666666424,92.85714285714286,40.35714285714287,0.0055494174916589,140.0,110.0,405.0,7262.32316372,-0.6768189509306244,11820.0
4,1955,159.10862816187,115.554314080935,43.554314080935,49.88133422604005,-4.587569228792717,54.00112840487032,53.33333333333394,106.66666666666424,38.46153846153847,38.04945054945056,-0.0003217825388162,140.0,120.0,335.0,7500.69556306,-0.1703577512776832,11740.0
5,1956,168.86549545585876,138.43274772792938,30.43274772792938,43.77090108334414,-8.558401897190898,52.08327164516282,60.0,80.0,23.07692307692308,38.37912087912089,-0.003907383900189,140.0,127.5,322.5,8227.84401665,-0.0853242320819069,11720.0
6,1957,178.08861714200611,143.04430857100306,35.04430857100306,37.68699020421264,-11.713850221057932,51.10594565275913,66.66666666666606,73.33333333333576,21.428571428571427,42.664835164835175,-0.0066939480898498,130.0,127.5,312.5,10648.15567646,0.3415883859948732,11710.0
7,1958,160.05554591383043,87.02777295691521,73.02777295691521,35.6817951826215,-10.975236194119262,54.76259683210394,80.0,40.0,50.0,45.164835164835175,0.001364170218209,120.0,127.5,352.5,12129.23859216,-0.7659574468085073,11750.0
8,1959,175.32192611814023,168.66096305907013,6.660963059070127,26.524656118037456,-16.10590020696265,46.361235146521686,73.33333333333394,126.66666666666424,5.88235294117647,27.76987718164189,-0.007397819455296,100.0,102.5,237.5,6186.20913978,0.3430531732418584,11660.0
9,1960,167.38511814905723,115.69255907452862,51.69255907452862,22.23886732250503,-16.313351201996063,50.03045085398464,66.66666666666606,53.33333333333576,41.66666666666667,28.410902822667538,-0.0055031276144733,100.0,102.5,277.5,8403.20622429,0.1709401709401703,11700.0
10,1961,165.9451047116927,91.97255235584636,73.97255235584635,20.22306279811346,-14.66332458111011,51.80564294306986,53.33333333333394,26.66666666666424,70.0,37.79551820728292,-0.0034797163758404,55.0,42.5,237.5,13154.37697495,0.255972696245732,11720.0
11,1962,167.38511814905723,65.69255907452862,101.69255907452862,20.80642890808485,-11.263966776910976,54.42128289515014,80.0,80.0,71.42857142857143,47.79551820728292,0.0039487251511516,55.0,37.5,262.5,13724.57338933,0.5957446808510625,11750.0
12,1963,200.84266921591552,19.42133460795776,181.42133460795776,26.61041741124791,-4.367982618998337,59.89122398444767,120.0,80.0,89.47368421052632,55.69025504938818,0.0091377986743649,65.0,37.5,332.5,17526.34749375,0.1692047377326533,11820.0
13,1964,216.18921753356332,9.094608766781676,207.09460876678168,32.449890826417686,1.17719263693715,61.31955432139339,113.33333333333394,66.66666666666424,94.73684210526316,73.46115288220552,0.009465107835306,70.0,30.0,345.0,10353.27141303,0.591216216216206,11840.0
14,1965,303.92981645986947,-0.0350917700652644,303.96490822993474,42.23922309384216,8.773219923489293,65.89710561297971,153.33333333333394,126.66666666666424,82.14285714285714,81.55639097744361,0.0159641618919017,75.0,30.0,415.0,46204.80343474,0.2518891687657509,11910.0
15,1966,374.2845026031464,27.1422513015732,347.1422513015732,51.82073158719504,14.68378273347374,67.66332639680525,60.0,40.0,92.0,85.9563909774436,0.0132604451386177,75.0,35.0,450.0,13252.4106625,-0.5025125628140725,11940.0
16,1967,379.4967427762385,106.74837138811928,272.74837138811927,53.950737026860224,13.451030538511134,60.872965043779125,66.66666666666606,93.33333333333576,63.63636363636363,84.39794941900206,0.0081697608470084,75.0,32.5,387.5,9881.05614434,0.0841750841750865,11880.0
17,1968,389.84897360672767,115.92448680336383,273.92448680336383,55.80244229124946,12.242188642320292,61.56526901128168,73.33333333333394,86.66666666666424,65.0,79.5032125768968,0.0056358614133388,5.0,30.0,395.0,12556.82030382,0.420521446593769,11890.0
18,1969,356.5015193983454,77.2507596991727,279.2507596991727,60.60588724435911,13.636506876343944,64.9085711209436,120.0,80.0,85.71428571428571,77.69870129870131,0.0069739517181288,15.0,87.5,502.5,14284.24908682,0.0837520938023361,11940.0
19,1970,321.77286675195865,74.88643337597932,246.8864333759793,64.47632545840133,14.005556072308927,65.55393706858779,46.66666666666606,33.33333333333576,90.0,79.27012987012986,0.009137545427439,30.0,137.5,562.5,11925.70420563,-0.1673640167364043,11950.0
20,1971,258.0266997381732,84.0133498690866,174.0133498690866,65.17850553540484,11.766188919449933,63.05619585798438,53.33333333333394,46.66666666666424,70.0,74.87012987012987,0.0068170819626715,45.0,137.5,542.5,7162.43068358,0.1676445934618575,11930.0
21,1972,185.9510090797412,47.9755045398706,137.9755045398706,66.58131322495865,10.535197287202983,64.51236041669247,53.33333333333394,26.66666666666424,90.0,80.14285714285714,0.0049435210239229,55.0,137.5,562.5,5099.10803706,-0.1673640167364043,11950.0
22,1973,143.8517755654393,57.925887782719656,85.92588778271966,65.32617607888278,7.424048112901687,61.88546846632508,33.33333333333394,46.66666666666424,70.0,81.14285714285714,0.0040094239263845,85.0,137.5,542.5,7814.93081564,0.7544006705783701,11930.0
