,Unnamed: 0,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
0,3927,50.288059108383095,20.644029554191548,29.644029554191548,0.4466655434007407,1.854524300923493,51.553220773417145,36.66666666666697,43.33333333333212,50.0,59.238095238095255,0.0031384508832357,2.5,-30.0,-65.0,1938.95586132,0.0823045267489774,6075.0
1,3928,44.67164151399447,11.835820756997236,32.83582075699724,1.2379568328842652,2.116652472325614,52.86460773342112,13.33333333333303,6.666666666667879,60.0,60.57142857142859,0.0011568795655704,0.0,-32.5,-62.5,502.87115475,0.2467105263157964,6080.0
2,3929,52.66244708834347,4.331223544171735,48.331223544171735,3.0403878222741696,3.1352667693724143,56.65521460733813,33.33333333333303,16.66666666666788,88.88888888888889,71.20634920634922,0.0032942183024465,0.0,-35.0,-50.0,312.21316294,-0.656275635767023,6095.0
3,3930,56.13475849338283,43.56737924669142,12.567379246691416,1.22701736869476,1.0575170526344038,46.025660132609616,16.66666666666697,33.33333333333212,0.0,54.06349206349207,-0.0025475819380382,0.0,-37.5,-92.5,5586.81120889,0.4128819157720897,6055.0
4,3931,55.17648452415051,20.08824226207525,35.088242262075255,1.7866044222291748,1.2936832849350548,52.07739992943655,46.66666666666697,23.33333333333212,63.63636363636363,52.505050505050505,0.0004135582005201,10.0,-37.5,-67.5,4969.55580714,0.8223684210526327,6080.0
5,3932,89.83936281558636,-6.080318592206822,95.91968140779318,6.193271151667432,4.560280011498649,61.39927101700079,73.33333333333303,36.66666666666788,100.0,62.505050505050505,0.007231992131302,10.0,-37.5,-17.5,7728.62847644,0.0815660685155039,6130.0
6,3933,111.47495981908288,6.737479909541435,104.73747990954143,9.974069630268788,6.672862792080002,62.19129655965599,13.33333333333303,6.666666666667879,100.0,70.5050505050505,0.0120443211400688,10.0,-41.25,-16.25,6812.66449677,0.0814995925020323,6135.0
7,3934,117.75681155103484,13.878405775517422,103.87840577551742,13.22142946814347,7.936178103963747,63.00868434321313,13.33333333333303,6.666666666667879,100.0,72.72727272727275,0.0103679437670847,10.0,-45.0,-15.0,1787.77831565,0.0,6140.0
8,3935,129.42608358097823,25.213041790489115,104.21304179048911,15.614985700460238,8.263787469024411,63.00868434321313,23.33333333333303,26.66666666666788,86.36363636363636,90.00000000000001,0.005503797880848,10.0,-42.5,-12.5,3489.23115122,0.0,6140.0
9,3936,132.73197722394252,33.36598861197126,99.36598861197126,17.31233048987724,7.9689058067531295,63.00868434321313,23.33333333333303,16.66666666666788,81.25,93.52272727272728,0.0075941001149557,10.0,-40.0,-10.0,1483.86360001,0.0814332247556892,6140.0
10,3937,132.2623655214611,35.13118276073055,97.13118276073055,18.843727911901624,7.600242583022009,63.98125025162369,6.66666666666697,3.3333333333321207,66.66666666666666,86.85606060606061,0.0055864654145279,10.0,-42.5,-7.5,596.75054693,0.4068348250610309,6145.0
