,Unnamed: 0,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
0,3926,24.585451886131523,21.29272594306576,3.2927259430657614,-4.565715620914943,-0.5881997658466189,38.89000771940527,3.333333333333485,6.66666666666606,20.0,42.99999999999998,-0.0042618509108035,-7.5,-17.5,-55.0,8261.4458759,0.0,2920.0
1,3927,26.99794230843781,21.498971154218907,5.498971154218907,-4.957265208895478,-0.7837994830617223,38.89000771940527,0.0,0.0,25.0,37.99999999999998,-0.0044298948248241,-7.5,-17.5,-55.0,10806.49176235,0.0,2920.0
2,3928,28.674417556823755,21.83720877841188,6.837208778411878,-5.207541778293944,-0.8272608419681502,38.89000771940527,10.0,10.0,33.33333333333333,29.66666666666665,-0.0017064846416382,-7.5,-17.5,-55.0,17794.15059428,0.0,2920.0
3,3929,29.88868236196049,21.44434118098025,8.444341180980246,-5.344282204138835,-0.7712010142504333,38.89000771940526,0.0,0.0,33.33333333333333,26.333333333333314,-0.0022158136181544,-7.5,-17.5,-55.0,6346.82978762,0.1712328767123239,2920.0
4,3930,29.51459149491893,15.757295747459466,13.757295747459466,-4.991651116647972,-0.3348559414076559,44.38333547782703,16.666666666666515,23.33333333333394,40.0,30.333333333333314,0.0003442189910701,-7.5,-15.0,-47.5,1720.98299914,0.1709401709401703,2925.0
5,3931,23.09401076760332,6.547005383801661,16.54700538380166,-4.2596278872274524,0.3177338304102912,49.29221740382162,20.0,20.0,60.0,38.333333333333314,0.0027397260273971,-7.5,-13.75,-41.25,6732.55461296,-0.170648464163825,2930.0
6,3932,22.01009869231075,10.505049346155374,11.505049346155374,-4.036423044949515,0.4327509381505825,45.01357639313409,3.333333333333485,6.66666666666606,40.0,41.333333333333314,0.0010285660853709,-7.5,-13.75,-46.25,2477.92257717,0.8547008547008517,2925.0
7,3933,37.47591819349145,-5.262040903254274,42.737959096745726,-1.82124633894864,2.118342115321166,62.527813280490015,36.66666666666652,33.33333333333394,66.66666666666666,47.99999999999999,0.0080359681631696,0.0,-13.75,-21.25,23094.10888925,0.6779661016949046,2950.0
8,3934,67.33003292242029,-6.3349835387898565,73.66501646121014,1.5304875057972822,4.376060768053671,70.59659609787172,20.0,10.0,100.0,61.333333333333314,0.0146933002945438,0.0,-15.0,-2.5,17614.65454675,0.0,2970.0
9,3935,82.19218670625833,6.096093353129163,76.09609335312916,4.139048352754799,5.587697292008949,70.59659609787172,13.333333333333483,6.66666666666606,100.0,73.33333333333331,0.015214302511565,0.0,-17.5,-5.0,5247.34457647,0.0,2970.0
10,3936,89.93825042155186,14.969125210775928,74.96912521077593,6.135623963871694,6.067418322500676,70.59659609787172,10.0,10.0,90.0,79.33333333333331,0.0107355905504802,0.0,-21.25,-8.75,34672.19165513,0.1683501683501731,2970.0
11,3937,94.96198069637468,17.980990348187333,76.98099034818733,8.02883136330729,6.368500577549017,72.44897892570496,20.0,10.0,100.0,91.33333333333331,0.0092163826618452,2.5,-21.25,-3.75,9079.19970272,-0.3361344537815114,2975.0
12,3938,90.43106644167436,30.215533220837187,60.21553322083719,8.622896062428936,5.570052221336529,63.79291836687176,13.333333333333483,16.66666666666606,50.0,87.99999999999997,0.0063430050416351,2.5,-21.25,-13.75,5407.6955789,-0.5059021922428353,2965.0
13,3939,80.11103405760423,43.05551702880212,37.05551702880212,7.793483549633038,3.792511766832504,53.47255685500634,6.666666666666515,13.33333333333394,0.0,67.99999999999997,-0.0013122088464554,2.5,-21.25,-28.75,16637.63737296,0.1694915254237372,2950.0
14,3940,69.79334575095163,35.896672875475815,33.896672875475815,7.453704702859795,2.7621863360474093,56.02630924743782,13.333333333333483,6.66666666666606,33.33333333333333,54.66666666666665,-0.002479235778994,5.0,-21.25,-23.75,3053.31814554,-0.3384094754653177,2955.0
